,SUBJECT,RATER,T1,atlas registration,REST1,REST2,REST3,REST4,MID1,MID2,SST1,SST2,nBack1,nBack2
226,subject_004077,,2,2,2,2,2,2,0,0,0,0,0,0
227,subject_004078,user_0051,1,1,1,1,1,1,1,1,1,1,1,1
228,subject_000457,user_0051,1,1,1,1,1,1,1,1,1,1,1,1
229,subject_000458,user_0051,1,1,1,1,1,1,1,1,1,2,1,1
230,subject_000460,,1,1,1,0,0,0,0,0,0,0,0,0
233,subject_000466,user_0051,1,1,1,1,1,1,1,1,1,1,1,1
235,subject_000468,,1,2,2,2,2,2,0,0,0,0,2,2
237,subject_000475,user_0051,1,1,1,1,1,1,1,1,1,1,1,1
238,subject_000476,user_0051,1,1,2,2,2,2,2,2,2,2,2,2
239,subject_003856,user_0051,1,1,2,2,2,2,2,2,2,3,3,2
240,subject_004079,,1,1,1,1,1,1,1,1,0,0,1,1
241,subject_000479,user_0051,1,1,2,2,2,2,2,1,1,1,1,1
246,subject_000487,user_0050,1,1,1,1,1,1,1,1,1,1,1,1
247,subject_000488,user_0050,1,1,1,1,1,1,1,1,1,1,0,0
248,subject_004080,,2,2,1,1,0,0,0,0,0,0,0,0
249,subject_004081,user_0050,1,1,1,1,1,1,1,1,1,1,1,1
250,subject_004082,,2,1,1,1,1,0,0,0,0,0,0,0
251,subject_004083,user_0050,1,1,1,1,1,1,1,1,1,1,1,1
252,subject_000493,user_0050,1,1,2,2,2,2,0,0,0,0,0,0
253,subject_000495,user_0050,1,1,1,1,1,1,1,1,1,1,1,1
254,subject_004084,,2,2,2,2,2,2,0,0,0,0,0,0
255,subject_004085,user_0050,1,1,1,1,1,1,1,1,2,2,2,2
256,subject_000497,user_0050,1,1,2,2,2,2,2,2,2,2,2,2
257,subject_004086,user_0050,1,1,2,2,2,0,2,2,2,2,2,2
259,subject_000506,user_0042,2,2,2,2,0,0,2,2,2,2,0,0
260,subject_000507,user_0050,1,1,1,1,0,0,0,0,0,0,0,0
262,subject_004087,user_0050,1,1,1,1,1,1,2,2,2,2,2,2
264,subject_004088,user_0050,1,1,1,1,1,1,1,1,0,0,0,0
266,subject_004089,user_0050,1,1,1,1,1,1,1,1,1,1,1,1
267,subject_000520,user_0050,2,1,1,1,1,1,1,1,1,1,1,1
269,subject_000521,user_0050,1,1,1,1,1,1,1,1,1,1,1,1
270,subject_000523,user_0050,1,1,1,1,1,1,0,1,1,1,1,1
271,subject_000525,user_0050,2,1,1,1,1,1,1,1,1,1,1,1
272,subject_000526,user_0050,2,1,1,1,1,1,1,1,1,2,1,1
274,subject_000535,user_0050,1,1,1,1,1,0,1,1,1,3,1,1
275,subject_000537,user_0050,1,1,2,2,2,0,2,2,0,0,0,0
277,subject_000540,user_0050,1,1,1,1,1,1,0,1,1,1,1,1
279,subject_000546,user_0050,1,1,1,1,1,1,1,1,2,3,3,2
280,subject_000554,user_0050,2,1,0,1,1,0,0,0,0,0,0,0
282,subject_000558,user_0050,1,1,1,1,1,1,1,1,1,1,1,1
283,subject_004090,user_0050,1,1,1,1,1,0,1,1,1,1,1,1
284,subject_000559,user_0050,1,1,1,1,1,1,1,1,1,1,1,1
285,subject_000560,user_0050,1,1,1,1,1,2,2,3,1,3,1,2
286,subject_000561,user_0050,1,1,1,1,1,1,1,1,1,1,1,1
287,subject_000562,user_0050,1,1,1,1,1,1,1,1,1,1,1,1
288,subject_000564,,2,2,2,2,2,2,2,2,2,2,2,2
290,subject_000568,user_0066,1,1,1,1,1,2,1,1,1,1,1,1
294,subject_004091,,1,1,2,2,2,2,2,2,2,2,2,2
296,subject_000574,,2,2,2,2,2,3,2,2,2,2,2,2
298,subject_000578,,2,2,2,1,1,2,2,2,2,2,2,2
299,subject_000583,,2,2,2,2,3,3,2,3,3,3,3,3
305,subject_000590,,1,1,2,2,2,2,3,3,2,3,3,3
307,subject_004092,,2,1,1,1,1,1,2,2,2,2,1,2
308,subject_000596,,2,1,1,1,1,1,1,1,2,1,1,1
310,subject_000598,,3,3,1,2,1,2,2,2,1,2,2,2
313,subject_003860,,2,1,1,1,1,1,3,3,2,2,1,1
314,subject_003861,,3,3,1,1,2,1,1,2,3,3,2,2
320,subject_000619,,1,1,1,1,1,1,1,2,1,3,2,3
321,subject_000630,,2,1,1,1,2,2,2,2,2,2,2,2
322,subject_000631,,2,2,2,2,2,2,2,2,2,2,2,2
323,subject_003862,,3,2,2,1,2,2,3,3,3,3,3,3
324,subject_000634,,1,2,2,2,2,2,2,2,2,2,2,2
325,subject_000635,,1,2,2,2,2,2,2,2,2,2,2,2
327,subject_000640,,2,2,2,2,2,2,2,2,2,2,2,2
329,subject_000641,,2,1,2,2,2,2,2,2,0,0,0,0
330,subject_003863,,3,2,1,1,1,1,1,1,1,1,1,1
332,subject_003864,,2,1,2,2,2,2,3,3,3,3,2,3
333,subject_000651,,1,2,2,2,2,2,2,2,2,2,2,2
334,subject_000659,,1,1,2,2,2,0,2,2,2,2,2,2
336,subject_000663,,1,2,2,2,2,0,2,2,2,2,2,2
337,subject_000666,,1,1,1,1,1,1,1,1,0,0,1,1
338,subject_004093,,1,1,2,2,2,2,2,2,0,0,2,0
343,subject_000682,,1,2,1,1,1,1,1,1,1,1,1,1
344,subject_000683,,3,1,2,2,2,2,1,1,2,2,1,2
345,subject_000684,,1,1,2,2,2,2,2,2,2,2,2,2
347,subject_003865,,1,2,1,1,1,1,2,2,1,1,1,3
348,subject_000691,,1,3,1,1,1,1,1,1,1,1,1,1
350,subject_003866,,2,1,1,1,2,2,2,2,2,3,3,3
351,subject_000695,,1,1,1,1,1,1,1,1,1,1,2,1
352,subject_000699,,1,2,2,2,2,2,2,2,2,2,2,2
353,subject_000704,user_0064,2,1,2,2,2,2,2,2,2,2,2,2
354,subject_000705,,1,1,2,2,2,2,2,2,2,2,2,2
355,subject_000706,,3,2,2,3,3,2,0,0,2,2,2,2
358,subject_000714,,1,2,2,2,2,2,2,2,2,2,2,2
359,subject_000716,,2,1,1,1,1,1,1,1,1,2,1,1
361,subject_000720,,3,2,2,2,2,2,2,2,2,2,2,2
366,subject_000733,,1,1,1,1,1,1,0,0,1,0,0,0
367,subject_003867,,1,2,2,3,0,0,2,3,3,3,3,3
368,subject_000737,,1,2,1,1,1,1,1,2,2,2,2,2
369,subject_003868,,2,1,1,2,3,0,0,0,0,0,0,0
370,subject_003869,,1,1,1,1,3,1,2,3,3,3,0,0
371,subject_000741,,3,2,2,1,2,0,2,2,2,2,2,2
373,subject_003870,,2,2,1,3,0,0,2,2,2,2,0,0
375,subject_000750,user_0042,2,2,2,2,2,0,2,2,0,0,0,0
376,subject_000751,,1,2,1,1,1,1,1,1,2,2,1,2
378,subject_000754,,2,2,2,2,2,2,0,0,0,0,2,2
380,subject_000758,user_0051,1,1,1,1,1,1,1,1,1,3,1,1
383,subject_000766,user_0051,1,2,2,2,2,2,1,1,1,1,1,1
384,subject_000769,user_0051,1,2,1,1,1,1,1,1,1,1,1,1
388,subject_000778,user_0051,2,1,2,1,1,1,1,1,1,1,1,1
389,subject_000781,user_0051,1,1,1,1,1,1,1,1,1,1,2,1
393,subject_003872,user_0051,1,1,2,2,2,2,3,1,3,2,3,2
396,subject_000798,user_0051,1,1,1,1,1,1,1,1,1,1,1,1
398,subject_003873,user_0051,2,2,1,1,2,2,2,2,2,3,3,2
399,subject_000801,user_0051,1,1,1,1,1,1,2,1,1,1,1,1
401,subject_000805,user_0051,2,1,1,1,1,1,3,2,2,2,3,2
402,subject_003874,user_0051,1,1,1,2,2,2,3,3,3,3,3,3
407,subject_000826,user_0051,1,1,1,1,1,1,1,1,1,1,1,1
411,subject_000833,user_0051,2,2,2,2,2,2,2,2,2,2,2,2
412,subject_000834,user_0051,2,1,1,1,1,1,1,1,1,1,1,1
415,subject_000847,user_0051,2,2,1,1,1,1,2,2,1,1,2,1
419,subject_004094,user_0051,1,1,2,1,1,1,1,2,2,1,1,1
420,subject_000857,user_0051,1,2,1,1,1,1,2,3,2,3,1,2
421,subject_004095,user_0051,1,1,1,1,1,1,1,1,2,2,2,1
422,subject_000860,,1,1,1,1,1,1,1,1,1,1,1,1
423,subject_004096,,2,1,1,0,0,0,1,1,0,0,0,0
426,subject_003875,,3,2,1,1,0,0,1,1,0,0,0,0
427,subject_004097,,0,0,0,0,0,0,0,0,0,0,0,0
428,subject_004098,,2,2,2,2,2,0,0,0,0,0,0,0
430,subject_000884,,0,0,0,0,0,0,0,0,0,0,0,0
431,subject_004099,,2,2,2,2,2,2,2,2,2,2,0,0
434,subject_004100,,1,1,1,1,1,1,0,0,0,0,0,0
435,subject_004101,,1,1,2,2,2,2,2,2,2,2,2,2
436,subject_000892,,2,2,1,1,0,0,0,0,0,0,0,0
437,subject_000893,,1,1,1,1,1,1,1,1,1,1,1,1
443,subject_000904,,1,1,1,1,1,1,1,1,1,1,1,1
445,subject_000910,,2,2,2,2,0,0,0,0,0,0,0,0
447,subject_004102,,1,1,1,1,1,1,1,1,1,1,1,1
448,subject_000915,,2,2,1,0,0,0,0,0,0,0,0,0
449,subject_000917,,1,1,2,2,2,2,2,2,2,2,2,2
452,subject_000922,,1,2,1,1,1,1,1,1,1,1,1,1
453,subject_004103,,2,2,2,2,2,0,2,2,0,0,0,0
455,subject_000924,,2,0,0,0,0,0,0,0,0,0,0,0
457,subject_000928,,0,0,0,0,0,0,0,0,0,0,0,0
458,subject_000932,,2,2,2,2,0,0,0,0,0,0,0,0
459,subject_000933,,1,1,2,2,2,0,2,2,2,2,2,2
460,subject_000934,,1,1,2,2,2,2,2,2,2,2,2,2
462,subject_004104,user_0042,2,2,2,2,2,0,0,0,0,0,0,0
463,subject_000937,,1,1,2,2,2,2,2,2,2,2,2,2
464,subject_000938,,1,0,0,0,0,0,0,0,0,0,0,0
465,subject_000942,user_0066,1,1,1,1,1,1,1,1,1,1,2,2
468,subject_004105,,2,0,0,0,0,0,0,0,0,0,0,0
470,subject_000951,,1,1,1,1,1,1,1,1,1,1,1,1
473,subject_004106,,1,1,1,1,1,1,1,1,1,1,1,1
474,subject_003876,,2,2,2,2,3,0,2,2,2,2,2,2
476,subject_004107,,1,1,2,2,2,2,2,2,2,2,2,2
477,subject_000963,user_0060,2,2,2,2,2,0,0,0,0,0,0,0
480,subject_000970,user_0060,2,2,2,2,2,2,2,2,3,2,2,3
481,subject_000971,user_0060,2,2,2,2,2,0,0,0,0,0,0,0
483,subject_000973,user_0060,2,2,2,2,2,2,2,2,2,2,2,2
486,subject_000982,user_0060,2,2,2,2,2,0,2,2,2,2,2,2
489,subject_000987,user_0060,2,2,2,2,2,0,2,2,2,2,2,2
491,subject_000989,user_0060,1,2,2,2,2,2,2,2,2,2,2,2
492,subject_000990,user_0060,1,2,1,1,1,1,1,1,1,1,1,1
493,subject_000991,user_0060,2,2,2,2,2,0,2,2,2,2,2,2
494,subject_000992,user_0060,2,2,2,2,2,2,2,2,2,2,2,2
496,subject_000995,user_0060,2,2,2,0,0,0,0,0,0,0,0,0
497,subject_000996,user_0060,2,2,2,2,2,2,2,2,2,2,2,2
499,subject_001008,user_0060,1,1,2,2,2,2,2,2,2,2,2,2
504,subject_003877,user_0066,1,1,1,1,2,2,2,3,2,2,2,2
530,subject_001064,,1,1,1,1,1,1,1,1,1,1,1,1
531,subject_003878,,1,1,2,2,2,2,0,0,2,3,2,2
532,subject_001066,,2,1,2,2,2,2,0,0,0,0,0,0
533,subject_004108,,1,2,2,2,2,2,0,0,0,0,2,2
534,subject_001067,,1,2,3,2,2,3,0,0,0,0,0,0
535,subject_001072,,2,2,2,2,2,2,2,2,2,2,2,2
536,subject_001075,,2,1,2,2,2,2,0,0,2,2,0,0
537,subject_001080,,1,1,1,1,1,1,1,1,1,1,1,1
539,subject_001085,,1,1,1,1,2,0,3,3,1,1,1,1
540,subject_004109,,2,1,1,1,1,0,1,1,2,2,2,2
541,subject_001095,,1,1,2,2,2,2,2,2,2,2,2,2
544,subject_003879,,1,1,1,1,1,1,3,3,2,2,3,3
545,subject_001106,,2,2,2,2,2,2,2,2,2,2,2,2
547,subject_003880,,2,1,2,2,2,0,3,0,2,2,2,2
549,subject_003881,,1,1,1,2,3,3,1,2,3,3,3,2
550,subject_001114,,2,1,1,1,1,1,0,0,0,0,0,0
555,subject_001124,,1,2,1,1,1,1,2,2,2,2,2,2
556,subject_001125,,2,1,2,2,2,0,2,2,2,2,2,2
557,subject_001130,,3,2,1,1,0,0,0,0,0,0,0,0
558,subject_001131,,1,2,2,2,0,0,0,0,0,0,0,0
559,subject_001132,user_0066,1,1,2,2,1,1,2,2,1,1,2,2
560,subject_001133,,1,2,2,3,2,2,2,2,2,2,2,2
564,subject_001140,,2,1,2,2,2,2,2,2,2,2,2,2
566,subject_004110,,1,1,2,2,2,2,2,2,2,2,2,2
567,subject_003882,,3,3,3,3,3,3,3,3,3,3,3,3
569,subject_004111,,1,1,2,2,2,2,2,2,2,2,2,2
570,subject_001155,,1,2,2,2,2,2,2,2,2,2,2,2
574,subject_001165,user_0042,2,2,1,1,1,0,2,2,0,0,1,1
576,subject_001168,,1,1,1,1,2,2,2,2,1,1,1,1
577,subject_001169,,1,1,2,2,2,2,0,0,2,2,2,2
581,subject_001175,user_0042,3,1,2,2,0,0,0,0,0,0,0,0
583,subject_003883,,1,1,1,1,3,2,2,1,1,1,1,1
584,subject_001179,,1,1,2,3,3,2,0,0,0,0,0,0
585,subject_001180,user_0042,1,1,1,1,1,2,1,1,1,1,1,1
589,subject_004112,user_0042,1,2,1,1,2,2,2,0,0,0,0,0
590,subject_004113,user_0042,1,1,1,1,1,1,1,1,1,1,1,1
591,subject_004114,user_0042,1,1,1,1,1,1,1,1,1,1,1,1
592,subject_004115,user_0042,1,1,1,1,1,1,1,1,1,1,1,1
593,subject_004116,user_0042,1,1,1,1,1,1,1,1,0,1,1,1
595,subject_001193,user_0042,2,2,2,2,2,2,2,2,2,3,2,2
597,subject_001197,user_0042,1,1,1,1,1,1,0,0,0,0,0,0
598,subject_001201,user_0042,1,1,1,1,1,1,3,3,3,3,1,1
600,subject_001204,user_0042,1,1,1,1,1,0,1,2,1,1,1,1
602,subject_004117,user_0042,1,1,1,1,1,1,1,1,1,1,1,1
603,subject_001209,user_0042,1,1,1,1,1,1,1,1,1,1,1,1
604,subject_001210,user_0042,2,2,1,1,1,1,1,1,1,1,1,1
605,subject_001211,user_0042,1,1,1,1,1,0,1,1,1,1,1,1
606,subject_001212,user_0042,1,1,1,1,1,1,1,1,1,1,1,1
607,subject_001219,user_0042,2,2,2,2,2,2,2,2,2,2,2,2
609,subject_001222,user_0042,1,1,1,1,1,1,1,1,1,1,1,1
612,subject_004118,,1,2,2,2,0,0,0,0,0,0,0,0
613,subject_001227,user_0042,1,1,1,1,1,0,0,0,0,0,0,0
614,subject_001230,user_0042,2,1,1,1,1,1,1,1,0,0,1,1
615,subject_001239,,3,3,2,2,2,2,2,2,2,2,2,2
616,subject_003884,user_0042,2,1,1,1,1,1,2,2,3,3,1,2
617,subject_004119,user_0042,2,1,1,1,1,1,1,1,1,1,1,1
618,subject_001245,,2,3,2,0,0,0,0,0,0,0,0,0
621,subject_003885,user_0042,1,2,1,1,1,0,2,2,0,0,3,0
622,subject_001251,user_0042,1,1,1,1,1,1,1,1,1,1,1,1
623,subject_001252,,2,2,2,3,0,0,0,0,0,0,0,0
624,subject_003886,user_0042,1,3,3,3,3,3,3,3,3,3,3,3
625,subject_004120,,0,0,0,0,0,0,0,0,0,0,0,0
626,subject_004121,user_0042,2,1,1,1,1,1,0,0,0,2,0,0
627,subject_004122,user_0042,2,1,1,1,1,1,1,1,1,2,2,1
629,subject_001262,user_0042,2,1,2,2,3,2,0,0,0,0,0,0
